FPM:   Word:                  Gender:
15193  la                     f -> m 
8635   ça                     f -> m 
4649   elle                   f -> m 
2340   être                   f -> m 
1846   dire                   f -> m 
1361   été                    f -> m 
872    monde                  f -> m 
810    père                   f -> m 
733    femme                  m -> f 
542    passé                  f -> m 
490    nuit                   m -> f 
473    reste                  f -> m 
381    hé                     f -> m 
377    part                   m -> f 
341    contre                 f -> m 
333    ensemble               f -> m 
301    genre                  f -> m 
295    frère                  f -> m 
272    bébé                   f -> m 
255    type                   f -> m 
252    côté                   f -> m 
233    eau                    m -> f 
233    compte                 f -> m 
220    possible               f -> m 
199    madame                 m -> f 
197    téléphone              f -> m 
185    derrière               f -> m 
185    mariage                f -> m 
164    arme                   m -> f 
148    service                f -> m 
146    pire                   f -> m 
138    café                   f -> m 
138    photo                  m -> f 
137    ferme                  m -> f 
137    verre                  f -> m 
136    doute                  f -> m 
134    meurtre                f -> m 
132    marché                 f -> m 
130    simple                 f -> m 
125    visage                 f -> m 
123    livre                  f -> m 
123    message                f -> m 
119    pauvre                 f -> m 
115    groupe                 f -> m 
115    rêve                   f -> m 
114    manque                 f -> m 
114    envoyé                 f -> m 
110    maître                 f -> m 
109    âge                    f -> m 
106    ordre                  f -> m 
105    voyage                 f -> m 
101    oncle                  f -> m 
99     anniversaire           f -> m 
99     bouge                  f -> m 
99     contrôle               f -> m 
99     arrêté                 f -> m 
97     victime                m -> f 
96     avion                  f -> m 
96     rouge                  f -> m 
92     risque                 f -> m 
85     arrière                f -> m 
83     forme                  m -> f 
82     tiré                   f -> m 
79     juge                   f -> m 
78     change                 f -> m 
77     centre                 f -> m 
77     dame                   m -> f 
76     foutre                 f -> m 
76     âme                    m -> f 
75     tire                   f -> m 
73     signe                  f -> m 
73     diable                 f -> m 
72     rire                   f -> m 
70     silence                f -> m 
68     peau                   m -> f 
68     peuple                 f -> m 
68     exemple                f -> m 
67     blessé                 f -> m 
66     fut                    m -> f 
65     dommage                f -> m 
63     plupart                m -> f 
63     lycée                  f -> m 
62     sexe                   f -> m 
62     radio                  m -> f 
62     thé                    f -> m 
61     rôle                   f -> m 
60     vide                   f -> m 
60     code                   f -> m 
60     vidéo                  m -> f 
57     rapide                 f -> m 
57     mérite                 f -> m 
56     camion                 f -> m 
56     village                f -> m 
56     spectacle              f -> m 
54     monstre                f -> m 
54     marié                  f -> m 
54     espace                 f -> m 
53     portable               f -> m 
53     nécessaire             f -> m 
53     grand-père             f -> m 
51     invité                 f -> m 
51     contraire              f -> m 
50     double                 f -> m 
50     courage                f -> m 
49     couple                 f -> m 
49     mille                  f -> m 
48     prince                 f -> m 
46     étage                  f -> m 
45     frappé                 f -> m 
45     raté                   f -> m 
45     troisième              m -> f 
45     faible                 f -> m 
44     sourire                f -> m 
43     enfoiré                f -> m 
42     nombre                 f -> m 
41     ange                   f -> m 
41     imbécile               f -> m 
40     échange                f -> m 
39     arbre                  f -> m 
39     jeté                   f -> m 
39     article                f -> m 
39     coffre                 f -> m 
38     membre                 f -> m 
38     génie                  f -> m 
37     passage                f -> m 
37     piège                  f -> m 
36     dimanche               f -> m 
35     mensonge               f -> m 
35     abandonné              f -> m 
35     coupé                  f -> m 
34     flingue                f -> m 
34     style                  f -> m 
34     acte                   f -> m 
33     coincé                 f -> m 
33     suicide                f -> m 
33     militaire              f -> m 
33     casse                  f -> m 
33     pilote                 f -> m 
33     immeuble               f -> m 
32     ventre                 f -> m 
32     respire                f -> m 
31     épisode                f -> m 
31     site                   f -> m 
30     accusé                 f -> m 
30     siège                  f -> m 
30     titre                  f -> m 
30     théâtre                f -> m 
30     miracle                f -> m 
29     divorce                f -> m 
29     forêt                  m -> f 
29     sous-titrage           f -> m 
28     physique               f -> m 
28     modèle                 f -> m 
28     souffle                f -> m 
28     garage                 f -> m 
27     liquide                f -> m 
27     e                      f -> m 
27     fromage                f -> m 
27     champagne              f -> m 
27     vote                   f -> m 
26     siècle                 f -> m 
26     chèque                 f -> m 
26     crâne                  f -> m 
26     russe                  f -> m 
26     traité                 f -> m 
26     sucre                  f -> m 
25     geste                  f -> m 
25     empire                 f -> m 
25     prêtre                 f -> m 
25     champion               f -> m 
25     somme                  m -> f 
25     crème                  m -> f 
24     incendie               f -> m 
24     cadavre                f -> m 
23     navire                 f -> m 
23     ménage                 f -> m 
23     juré                   f -> m 
23     chargé                 f -> m 
23     véhicule               f -> m 
22     équipage               f -> m 
22     personnage             f -> m 
22     salaire                f -> m 
22     comité                 f -> m 
22     canapé                 f -> m 
21     masque                 f -> m 
21     alarme                 m -> f 
21     singe                  f -> m 
21     échappé                f -> m 
21     associé                f -> m 
21     classique              f -> m 
21     temple                 f -> m 
21     mystère                f -> m 
21     bouffe                 f -> m 
20     poussé                 f -> m 
20     avantage               f -> m 
20     jaune                  f -> m 
20     disque                 f -> m 
20     vampire                f -> m 
20     fiancé                 f -> m 
20     partage                f -> m 
19     moto                   m -> f 
19     info                   m -> f 
19     intéressé              f -> m 
19     condamné               f -> m 
19     sauvage                f -> m 
19     domaine                f -> m 
19     mobile                 f -> m 
19     musée                  f -> m 
19     sable                  f -> m 
19     ordinaire              f -> m 
18     magazine               f -> m 
18     solide                 f -> m 
18     cercle                 f -> m 
18     cirque                 f -> m 
18     congé                  f -> m 
18     beurre                 f -> m 
18     stade                  f -> m 
18     sire                   f -> m 
18     incapable              f -> m 
18     large                  f -> m 
18     brave                  f -> m 
18     territoire             f -> m 
18     portefeuille           f -> m 
18     enculé                 f -> m 
17     exercice               f -> m 
17     populaire              f -> m 
17     traître                f -> m 
17     péché                  f -> m 
17     employé                f -> m 
17     angle                  f -> m 
17     tribu                  m -> f 
17     langage                f -> m 
16     indice                 f -> m 
16     ministère              f -> m 
16     témoignage             f -> m 
16     oxygène                f -> m 
16     guide                  f -> m 
16     comte                  f -> m 
16     espion                 f -> m 
16     foie                   f -> m 
16     laboratoire            f -> m 
16     paraître               f -> m 
16     commerce               f -> m 
15     comté                  f -> m 
15     plastique              f -> m 
15     fidèle                 f -> m 
15     remède                 f -> m 
15     cimetière              f -> m 
15     caractère              f -> m 
15     septembre              f -> m 
15     attaché                f -> m 
15     câble                  f -> m 
14     homicide               f -> m 
14     complexe               f -> m 
14     désastre               f -> m 
14     lion                   f -> m 
14     pomme                  m -> f 
14     sacrifice              f -> m 
14     tatouage               f -> m 
14     héritage               f -> m 
14     assuré                 f -> m 
14     collège                f -> m 
14     dent                   m -> f 
14     pétrole                f -> m 
13     interrogatoire         f -> m 
13     scandale               f -> m 
13     mélange                f -> m 
13     chapitre               f -> m 
13     principe               f -> m 
13     alpha                  f -> m 
13     symbole                f -> m 
13     satellite              f -> m 
13     luxe                   f -> m 
12     lame                   m -> f 
12     piqué                  f -> m 
12     casque                 f -> m 
12     prime                  m -> f 
12     protocole              f -> m 
12     délire                 f -> m 
12     badge                  f -> m 
12     filé                   f -> m 
12     trône                  f -> m 
12     asile                  f -> m 
12     avoué                  f -> m 
12     octobre                f -> m 
12     domicile               f -> m 
12     texte                  f -> m 
12     blé                    f -> m 
12     cadre                  f -> m 
12     maquillage             f -> m 
12     historique             f -> m 
12     hélicoptère            f -> m 
12     auto                   m -> f 
11     tube                   f -> m 
11     pape                   f -> m 
11     pouce                  f -> m 
11     estime                 m -> f 
11     soda                   f -> m 
11     tournage               f -> m 
11     trouble                f -> m 
11     équilibre              f -> m 
11     usage                  f -> m 
11     linge                  f -> m 
11     jugé                   f -> m 
11     massage                f -> m 
11     novembre               f -> m 
11     opéra                  f -> m 
10     tigre                  f -> m 
10     suisse                 f -> m 
10     périmètre              f -> m 
10     massacre               f -> m 
10     météo                  m -> f 
10     automne                f -> m 
10     acide                  f -> m 
10     fixe                   f -> m 
10     refuge                 f -> m 
10     coke                   f -> m 
10     fleuve                 f -> m 
10     obsédé                 f -> m 
10     sauvetage              f -> m 
10     exposé                 f -> m 
10     pédé                   f -> m 
10     désordre               f -> m 
10     are                    f -> m 
10     décembre               f -> m 
10     came                   m -> f 
9.9    hôte                   f -> m 
9.9    voile                  f -> m 
9.9    règne                  f -> m 
9.9    inverse                f -> m 
9.9    orchestre              f -> m 
9.8    nuage                  f -> m 
9.8    louche                 f -> m 
9.6    cambriolage            f -> m 
9.6    relevé                 f -> m 
9.5    nettoyage              f -> m 
9.5    barbecue               f -> m 
9.4    commentaire            f -> m 
9.4    arraché                f -> m 
9.4    croisé                 f -> m 
9.3    tonnerre               f -> m 
9.3    promo                  m -> f 
9.3    degré                  f -> m 
9.3    flamme                 m -> f 
9.3    chantage               f -> m 
9.2    registre               f -> m 
9.2    chiffre                f -> m 
9.1    orage                  f -> m 
9.1    hommage                f -> m 
9.1    concierge              f -> m 
8.9    atterrissage           f -> m 
8.9    député                 f -> m 
8.8    mâle                   f -> m 
8.8    gré                    f -> m 
8.8    beau-père              f -> m 
8.8    sabre                  f -> m 
8.7    conte                  f -> m 
8.7    défilé                 f -> m 
8.6    nounou                 m -> f 
8.5    roulé                  f -> m 
8.4    calibre                f -> m 
8.4    arabe                  f -> m 
8.2    caca                   f -> m 
8.2    gage                   f -> m 
8.2    âne                    f -> m 
8.1    suicidé                f -> m 
8.1    supermarché            f -> m 
8      triple                 f -> m 
8      aîné                   f -> m 
7.9    aigle                  f -> m 
7.9    barrage                f -> m 
7.9    nègre                  f -> m 
7.8    pacte                  f -> m 
7.8    prétexte               f -> m 
7.8    vice                   f -> m 
7.7    opposé                 f -> m 
7.7    missile                f -> m 
7.6    chômage                f -> m 
7.6    isolé                  f -> m 
7.6    coca                   f -> m 
7.5    score                  f -> m 
