FPM:   Word:                 Gender:
21603  la                    f -> m 
935    día                   f -> m 
449    problema              ? -> m 
356    forma                 ? -> f 
332    contra                f -> m 
243    llama                 ? -> f 
243    toma                  ? -> f 
186    arma                  ? -> f 
178    cama                  ? -> f 
118    sistema               ? -> m 
101    programa              ? -> m 
100    cualquiera            f -> m 
95     broma                 ? -> f 
89     alma                  ? -> f 
82     víctima               ? -> f 
79     tema                  ? -> m 
73     calma                 ? -> f 
72     planeta               f -> m 
64     guardia               f -> m 
52     dama                  ? -> f 
43     fantasma              ? -> m 
42     lástima               ? -> f 
38     dia                   f -> m 
37     mama                  ? -> f 
36     firma                 ? -> f 
34     mapa                  f -> m 
27     alarma                ? -> f 
26     coma                  ? -> f 
23     ma                    ? -> f 
22     crema                 ? -> f 
19     prima                 ? -> f 
18     clima                 ? -> m 
17     cima                  ? -> f 
16     mediodía              f -> m 
16     drama                 ? -> m 
14     idioma                ? -> m 
14     fama                  ? -> f 
14     bla                   f -> m 
13     vodka                 f -> m 
13     trauma                ? -> m 
13     máxima                ? -> f 
12     pa                    f -> m 
12     suma                  ? -> f 
12     quema                 ? -> f 
12     marica                f -> m 
12     poema                 ? -> m 
12     pluma                 ? -> f 
11     plataforma            ? -> f 
11     goma                  ? -> f 
11     poeta                 f -> m 
10     telegrama             ? -> m 
9.7    norma                 ? -> f 
9.3    rama                  ? -> f 
8.8    cometa                f -> m 
8.6    sida                  f -> m 
8.3    escriba               f -> m 
8.2    yoga                  f -> m 
7.5    paloma                ? -> f 
7.4    fuma                  ? -> f 
7.4    cha                   f -> m 
7.2    champaña              f -> m 
7.1    karma                 ? -> m 
6.8    tequila               f -> m 
6.6    aroma                 ? -> f 
6.5    profeta               f -> m 
6.5    espuma                ? -> f 
6.4    palma                 ? -> f 
6      buda                  f -> m 
6      gorila                f -> m 
5.9    pijama                ? -> m 
5.9    extrema               ? -> f 
5.5    lema                  ? -> m 
5.5    spa                   f -> m 
5.4    plasma                ? -> m 
5.3    trama                 ? -> f 
4.6    legítima              ? -> f 
4.5    lima                  ? -> f 
4.4    autoestima            ? -> f 
4.3    estima                ? -> f 
4.3    dilema                ? -> m 
4.1    etcétera              f -> m 
4      reforma               ? -> f 
3.9    asma                  ? -> f 
3.9    rima                  ? -> f 
3.6    diploma               ? -> m 
3.6    gamma                 ? -> f 
3.6    enigma                ? -> m 
3.4    síntoma               ? -> m 
3.4    panorama              ? -> m 
3.4    gama                  ? -> f 
3.3    esquema               ? -> m 
3.3    tranvía               f -> m 
3.1    violeta               f -> m 
3.1    lágrima               ? -> f 
2.9    yakuza                f -> m 
2.7    décima                ? -> f 
2.7    mucama                ? -> f 
2.6    aneurisma             ? -> m 
2.5    fa                    f -> m 
2.5    holograma             ? -> m 
2.3    casanova              f -> m 
2.2    puma                  ? -> m 
2.1    lama                  ? -> f 
2      centinela             f -> m 
2      hematoma              ? -> m 
2      problemita            f -> m 
2      esgrima               ? -> f 
1.9    guardarropa           f -> m 
1.9    bellísima             ? -> f 
1.9    tanga                 f -> m 
1.9    chusma                ? -> f 
1.8    carisma               ? -> m 
1.8    rema                  ? -> m 
1.7    persa                 f -> m 
1.6    nirvana               f -> m 
1.6    emblema               ? -> m 
1.6    gema                  ? -> f 
1.5    diafragma             ? -> m 
1.5    chakra                f -> m 
1.4    crucigrama            ? -> m 
1.4    diagrama              ? -> m 
1.4    derrama               ? -> f 
1.3    genoma                ? -> m 
